 ,Area,Mean,StdDev,Min,Max,XM,YM,Perim.,Circ.,IntDen,Median,Skew,Kurt,RawIntDen,AR,Round,Solidity
1,181.538,1298.365,1091.487,510,6233,85.025,65.032,47.710,1.000,235703.188,800,2.134,3.824,14230085.000,1.000,1.000,1.000
2,181.538,593.927,40.306,442,789,87.512,95.613,47.710,1.000,107820.496,593,0.122,0.024,6509436.000,1.000,1.000,1.000
3,188.978,332.456,359.690,77,2183,113.156,121.783,48.723,1.000,62826.749,172,2.414,5.635,5416371.000,1.000,1.000,1.000
4,188.978,121.462,7.877,76,182,122.769,138.921,48.723,1.000,22953.658,121,0.392,1.027,1978863.000,1.000,1.000,1.000
5,187.236,1155.347,929.819,468,5770,52.818,75.519,48.519,0.999,216322.903,756,2.345,4.912,13060041.000,1.000,1.000,1.000
6,187.236,608.110,42.017,470,779,79.407,63.435,48.519,0.999,113860.225,607,0.169,0.055,6874072.000,1.000,1.000,1.000
7,188.978,212.801,180.720,81,1177,67.463,116.480,48.723,1.000,40214.578,136,2.496,5.856,3466948.000,1.000,1.000,1.000
8,188.978,117.140,6.893,74,188,96.605,110.817,48.723,1.000,22136.943,117,0.443,2.080,1908453.000,1.000,1.000,1.000
9,187.236,1120.487,886.808,469,5185,21.610,112.581,48.519,0.999,209795.869,738,2.309,4.650,12665985.000,1.000,1.000,1.000
10,187.236,596.878,41.661,446,787,48.907,103.218,48.519,0.999,111757.245,596,0.163,0.055,6747109.000,1.000,1.000,1.000
11,188.978,202.061,155.330,92,1086,35.332,154.181,48.723,1.000,38185.051,134,2.368,5.274,3291980.000,1.000,1.000,1.000
12,188.978,115.284,6.574,77,169,62.680,156.699,48.723,1.000,21786.084,115,0.326,0.761,1878205.000,1.000,1.000,1.000
