# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-4417.336	-0.0055344	-0.0291814	-0.0049135	188.427	104.266	20.060	24.4955	13.5546	2.6078
-1121.257	0.0005939	-0.0772420	-0.0190328	187.864	87.349	19.696	24.4223	11.3554	2.5605
-552.403	0.0011827	-0.0827410	-0.0207693	185.615	80.721	20.235	24.1300	10.4938	2.6305
-169.75	-0.0001592	-0.0723568	-0.0174625	185.373	77.905	21.395	24.0985	10.1277	2.7813
30.733	0.0000304	-0.0732333	-0.0177537	185.694	79.967	20.503	24.1402	10.3957	2.6654
151.456	-0.0001840	-0.0715974	-0.0172383	184.283	75.309	20.487	23.9568	9.7902	2.6633
419.238	-0.0002844	-0.0699617	-0.0167516	183.941	75.870	20.608	23.9123	9.8631	2.6790
539.496	0.0003264	-0.0747598	-0.0182610	184.850	75.802	20.553	24.0305	9.8542	2.6718
660.755	0.0019554	-0.0874756	-0.0223294	186.687	74.589	20.554	24.2693	9.6965	2.6721
780.698	0.0023190	-0.0897240	-0.0230805	185.676	74.148	20.565	24.1379	9.6392	2.6735
902.43	0.0018437	-0.0856837	-0.0217915	184.956	74.516	18.561	24.0443	9.6871	2.4130
1023.012	0.0016389	-0.0840385	-0.0212633	183.541	74.383	21.149	23.8603	9.6698	2.7494
1143.129	0.0021332	-0.0878509	-0.0225097	182.571	74.894	21.119	23.7342	9.7362	2.7454
1263.056	0.0025588	-0.0912652	-0.0236236	183.537	74.933	20.231	23.8598	9.7413	2.6301
1379.495	0.0028915	-0.0938020	-0.0244363	182.607	74.088	19.549	23.7389	9.6314	2.5413
1499.404	0.0055359	-0.1143496	-0.0311808	176.903	72.147	20.026	22.9974	9.3791	2.6033
