# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-6.00092900e+03	1.51403805e-01	-5.17736474e-01	-9.77334328e-02	7.37239000e+01	1.06560000e+02	8.68367000e+00	9.58410700e+00	1.38528000e+01	2.60510100e+00
-8.12045000e+02	4.08188956e-02	-6.14320251e-01	-1.13327523e-01	7.36085000e+01	1.08564000e+02	9.52858000e+00	9.56910500e+00	1.41133200e+01	2.85857400e+00
-5.72793000e+02	1.92777291e-02	-5.79712438e-01	-1.04475368e-01	7.26512000e+01	1.07809000e+02	9.82107000e+00	9.44465600e+00	1.40151700e+01	2.94632100e+00
-4.53102000e+02	-8.94329615e-03	-5.27385391e-01	-9.17803163e-02	7.57180000e+01	1.09745000e+02	1.02389000e+01	9.84334000e+00	1.42668500e+01	3.07167000e+00
-3.32902000e+02	-8.89042271e-03	-4.67086041e-01	-7.79598165e-02	7.61070000e+01	1.12951000e+02	1.04429000e+01	9.89391000e+00	1.46836300e+01	3.13287000e+00
-2.12526000e+02	-9.96058339e-03	-4.47752881e-01	-7.36124950e-02	7.47635000e+01	1.15182000e+02	1.12172000e+01	9.71925500e+00	1.49736600e+01	3.36516000e+00
-9.20720000e+01	-1.00985809e-17	-4.29389707e-01	-6.96382039e-02	7.10465000e+01	1.16538000e+02	1.12632000e+01	9.23604500e+00	1.51499400e+01	3.37896000e+00
2.69050000e+01	6.90674942e-03	-4.49780838e-01	-7.42213822e-02	7.10082000e+01	1.15701000e+02	1.20051000e+01	9.23106600e+00	1.50411300e+01	3.60153000e+00
1.46133000e+02	-3.30013188e-02	-5.17052728e-01	-8.93798547e-02	7.78854000e+01	1.10559000e+02	1.12247000e+01	1.01251020e+01	1.43726700e+01	3.36741000e+00
2.67675000e+02	-6.91636820e-02	-5.67710948e-01	-1.01770351e-01	8.52344000e+01	1.05045000e+02	1.10153000e+01	1.10804720e+01	1.36558500e+01	3.30459000e+00
3.87866000e+02	-8.69426869e-02	-6.10639532e-01	-1.12425863e-01	8.75411000e+01	1.01446000e+02	9.93244000e+00	1.13803430e+01	1.31879800e+01	2.97973200e+00
5.07822000e+02	-1.13138129e-01	-6.60422368e-01	-1.25305629e-01	9.12128000e+01	9.75018000e+01	7.92313000e+00	1.18576640e+01	1.26752340e+01	2.37693900e+00
6.27773000e+02	-1.29608573e-01	-6.64414093e-01	-1.26965167e-01	9.29556000e+01	9.56759000e+01	7.12545000e+00	1.20842280e+01	1.24378670e+01	2.13763500e+00
7.47152000e+02	-1.42375379e-01	-7.23749519e-01	-1.41989048e-01	9.33528000e+01	9.10512000e+01	6.67503000e+00	1.21358640e+01	1.18366560e+01	2.00250900e+00
8.67338000e+02	-1.69504813e-01	-8.08013829e-01	-1.64133513e-01	9.35382000e+01	8.92107000e+01	5.37547000e+00	1.21599660e+01	1.15973910e+01	1.61264100e+00
9.87206000e+02	-1.66053790e-01	-8.79849791e-01	-1.82008900e-01	9.05159000e+01	8.63871000e+01	4.76374000e+00	1.17670670e+01	1.12303230e+01	1.42912200e+00
1.10708600e+03	-1.82549029e-01	-9.33661042e-01	-1.96453293e-01	9.02219000e+01	8.51375000e+01	4.14320000e+00	1.17288470e+01	1.10678750e+01	1.24296000e+00
